temperature_2m,relative_humidity_2m,cloud_cover,shortwave_radiation,direct_radiation,diffuse_radiation,wind_speed_10m,precipitation,DATETIME
13.4,80,99,0.0,0.0,0.0,7.6,0.0,2013-06-30 00:00:00
13.4,80,99,0.0,0.0,0.0,7.6,0.0,2013-06-30 01:00:00
12.9,82,97,0.0,0.0,0.0,7.6,0.0,2013-06-30 02:00:00
12.9,81,90,0.0,0.0,0.0,8.5,0.0,2013-06-30 03:00:00
12.9,80,91,0.0,0.0,0.0,9.1,0.0,2013-06-30 04:00:00
13.2,79,98,0.0,0.0,0.0,8.5,0.0,2013-06-30 05:00:00
12.8,86,98,0.0,0.0,0.0,8.4,0.0,2013-06-30 06:00:00
12.9,88,99,0.0,0.0,0.0,7.6,0.0,2013-06-30 07:00:00
12.7,90,99,0.0,0.0,0.0,7.6,0.0,2013-06-30 08:00:00
13.0,91,98,21.0,3.0,18.0,8.1,0.0,2013-06-30 09:00:00
13.9,89,100,85.0,16.0,69.0,9.1,0.0,2013-06-30 10:00:00
14.7,88,99,192.0,76.0,116.0,8.9,0.0,2013-06-30 11:00:00
15.0,86,97,225.0,105.0,120.0,9.7,0.2,2013-06-30 12:00:00
14.9,86,96,237.0,97.0,140.0,11.2,0.1,2013-06-30 13:00:00
15.2,84,88,261.0,72.0,189.0,12.3,0.2,2013-06-30 14:00:00
15.0,84,90,203.0,79.0,124.0,12.8,0.3,2013-06-30 15:00:00
15.1,80,92,181.0,94.0,87.0,12.8,0.3,2013-06-30 16:00:00
14.7,79,82,102.0,38.0,64.0,10.9,0.4,2013-06-30 17:00:00
14.7,81,58,34.0,20.0,14.0,9.1,0.0,2013-06-30 18:00:00
14.4,82,46,0.0,0.0,0.0,8.8,0.0,2013-06-30 19:00:00
14.3,81,37,0.0,0.0,0.0,8.9,0.0,2013-06-30 20:00:00
14.1,81,34,0.0,0.0,0.0,8.3,0.0,2013-06-30 21:00:00
13.8,82,41,0.0,0.0,0.0,8.7,0.0,2013-06-30 22:00:00
13.6,82,31,0.0,0.0,0.0,8.4,0.0,2013-06-30 23:00:00
13.6,82,28,0.0,0.0,0.0,7.9,0.0,2013-07-01 00:00:00
13.3,82,38,0.0,0.0,0.0,8.4,0.0,2013-07-01 01:00:00
13.0,83,32,0.0,0.0,0.0,8.4,0.0,2013-07-01 02:00:00
12.8,83,28,0.0,0.0,0.0,7.7,0.0,2013-07-01 03:00:00
12.6,84,19,0.0,0.0,0.0,7.9,0.0,2013-07-01 04:00:00
12.3,85,23,0.0,0.0,0.0,8.0,0.0,2013-07-01 05:00:00
12.5,84,21,0.0,0.0,0.0,8.3,0.0,2013-07-01 06:00:00
12.3,85,20,0.0,0.0,0.0,8.1,0.0,2013-07-01 07:00:00
11.9,87,12,0.0,0.0,0.0,7.4,0.0,2013-07-01 08:00:00
12.1,87,11,45.0,25.0,20.0,8.1,0.0,2013-07-01 09:00:00
13.4,82,2,187.0,131.0,56.0,7.4,0.0,2013-07-01 10:00:00
14.9,76,0,338.0,266.0,72.0,6.7,0.0,2013-07-01 11:00:00
16.2,68,2,451.0,374.0,77.0,5.9,0.0,2013-07-01 12:00:00
17.0,65,0,513.0,428.0,85.0,4.1,0.0,2013-07-01 13:00:00
17.3,63,3,502.0,418.0,84.0,2.5,0.0,2013-07-01 14:00:00
17.4,62,0,430.0,336.0,94.0,1.5,0.0,2013-07-01 15:00:00
17.4,61,0,298.0,210.0,88.0,2.2,0.0,2013-07-01 16:00:00
17.0,64,0,177.0,114.0,63.0,3.0,0.0,2013-07-01 17:00:00
15.7,77,0,47.0,28.0,19.0,6.2,0.0,2013-07-01 18:00:00
14.7,75,0,0.0,0.0,0.0,5.6,0.0,2013-07-01 19:00:00
15.0,73,0,0.0,0.0,0.0,3.8,0.0,2013-07-01 20:00:00
15.0,73,0,0.0,0.0,0.0,1.4,0.0,2013-07-01 21:00:00
14.9,74,1,0.0,0.0,0.0,2.6,0.0,2013-07-01 22:00:00
14.1,78,1,0.0,0.0,0.0,7.2,0.0,2013-07-01 23:00:00
